SampleID	observed	NumAbund_1Per	NumInNCT_Abd	NumPrev_50Per	NumInNCT_prev	NumPrev_Abd	NumInNCT_both
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode03	100	8	5	78	29	7	5
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode04	174	28	9	131	54	28	9
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode05	29	17	15	25	18	14	12
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode06	116	5	3	90	40	4	3
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode07	176	9	2	133	55	8	2
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode08	98	27	10	85	35	24	10
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode11	41	11	4	36	19	11	4
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode17	150	12	3	114	48	11	3
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode18	126	17	7	112	46	13	5
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode19	80	12	4	67	29	11	4
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode20	100	20	3	92	35	20	3
2022_02_23_16s_kpc_tum-panc_invitro_fast5_barcode23	72	16	9	54	27	12	6
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode07	114	10	4	88	32	10	4
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode08	164	20	8	125	53	14	5
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode09	120	11	3	98	34	3	0
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode10	126	10	6	98	38	3	2
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode11	131	11	4	104	42	5	2
2024_03_27__KPC_bulk_16S_AS_V14_run25_fast5_barcode12	157	30	10	120	48	30	10
